The number of Constituents of vertex 0: is 56
    GenPart 0 pt: 46.3393, z: 152.499, t: 2.70908e-10, PID: -11, Status: 1, PU: 0
    GenPart 1 pt: 29.4936, z: 152.499, t: 2.70908e-10, PID: 11, Status: 1, PU: 0
    GenPart 2 pt: 0.785812, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 3 pt: 0.487682, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 4 pt: 0.189818, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 5 pt: 0.325688, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 6 pt: 0.446473, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 7 pt: 0.292284, z: 152.499, t: 2.70908e-10, PID: 321, Status: 1, PU: 0
    GenPart 8 pt: 0.232928, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 9 pt: 0.503672, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 10 pt: 2.57203, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 11 pt: 0.976394, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 12 pt: 0.891737, z: 152.499, t: 2.70908e-10, PID: 2212, Status: 1, PU: 0
    GenPart 13 pt: 0.582454, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 14 pt: 0.231106, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 15 pt: 0.332134, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 16 pt: 0.135, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 17 pt: 0.163213, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 18 pt: 0.217449, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 19 pt: 0.610798, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 20 pt: 0.142342, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 21 pt: 0.880165, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 22 pt: 0.23683, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 23 pt: 1.62332, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 24 pt: 0.281952, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 25 pt: 0.187686, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 26 pt: 0.321392, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 27 pt: 0.435251, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 28 pt: 0.297892, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 29 pt: 0.465077, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 30 pt: 0.295124, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 31 pt: 0.0713075, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 32 pt: 0.205773, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 33 pt: 0.161431, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 34 pt: 0.503152, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 35 pt: 0.807368, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 36 pt: 0.356885, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 37 pt: 0.341504, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 38 pt: 0.328307, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 39 pt: 1.18383, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 40 pt: 0.113971, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 41 pt: 0.0748174, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 42 pt: 0.300461, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 43 pt: 0.418531, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 44 pt: 0.887499, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 45 pt: 0.215595, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 46 pt: 0.384326, z: 152.499, t: 2.70908e-10, PID: 2212, Status: 1, PU: 0
    GenPart 47 pt: 0.173292, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
    GenPart 48 pt: 0.37709, z: 152.499, t: 2.70908e-10, PID: -2212, Status: 1, PU: 0
    GenPart 49 pt: 0.352215, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 50 pt: 0.268008, z: 37011.2, t: 1.23219e-07, PID: -211, Status: 1, PU: 0
    GenPart 51 pt: 0.952464, z: 37011.2, t: 1.23219e-07, PID: 211, Status: 1, PU: 0
    GenPart 52 pt: 0.474513, z: -140.539, t: 1.24855e-09, PID: 211, Status: 1, PU: 0
    GenPart 53 pt: 0.0603476, z: -140.539, t: 1.24855e-09, PID: -211, Status: 1, PU: 0
    GenPart 54 pt: 0.119516, z: 152.499, t: 2.70908e-10, PID: -211, Status: 1, PU: 0
    GenPart 55 pt: 0.112838, z: 152.499, t: 2.70908e-10, PID: 211, Status: 1, PU: 0
The number of Constituents of vertex 1: is 244
    GenPart 0 pt: 1.09307, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 1 pt: 0.596608, z: -83.9131, t: 2.23593e-11, PID: -321, Status: 1, PU: 1
    GenPart 2 pt: 0.553188, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 3 pt: 0.389361, z: -83.9131, t: 2.23593e-11, PID: -2212, Status: 1, PU: 1
    GenPart 4 pt: 0.211857, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 5 pt: 0.625376, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 6 pt: 0.295912, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 7 pt: 0.235711, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 8 pt: 0.518114, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 9 pt: 1.08213, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 10 pt: 2.37471, z: -83.9131, t: 2.23593e-11, PID: -321, Status: 1, PU: 1
    GenPart 11 pt: 0.561512, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 12 pt: 0.328112, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 13 pt: 0.649882, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 14 pt: 0.931479, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 15 pt: 0.818714, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 16 pt: 0.358157, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 17 pt: 1.77325, z: -83.9131, t: 2.23593e-11, PID: 2212, Status: 1, PU: 1
    GenPart 18 pt: 2.88232, z: -83.9131, t: 2.23593e-11, PID: -2212, Status: 1, PU: 1
    GenPart 19 pt: 0.629785, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 20 pt: 0.772346, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 21 pt: 0.302432, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 22 pt: 3.0155, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 23 pt: 1.39832, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 24 pt: 0.870806, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 25 pt: 1.87062, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 26 pt: 0.675228, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 27 pt: 2.14949, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 28 pt: 0.169296, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 29 pt: 0.136033, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 30 pt: 1.94609, z: -83.9131, t: 2.23593e-11, PID: -2212, Status: 1, PU: 1
    GenPart 31 pt: 0.209384, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 32 pt: 3.10881, z: -83.9131, t: 2.23593e-11, PID: 2212, Status: 1, PU: 1
    GenPart 33 pt: 1.78507, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 34 pt: 0.539168, z: -83.9131, t: 2.23593e-11, PID: -321, Status: 1, PU: 1
    GenPart 35 pt: 0.544729, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 36 pt: 1.77348, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 37 pt: 0.162433, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 38 pt: 0.473377, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 39 pt: 1.14946, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 40 pt: 0.713572, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 41 pt: 3.02125, z: -83.9131, t: 2.23593e-11, PID: -2212, Status: 1, PU: 1
    GenPart 42 pt: 0.365871, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 43 pt: 2.18176, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 44 pt: 3.38888, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 45 pt: 2.37836, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 46 pt: 0.393068, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 47 pt: 0.666637, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 48 pt: 0.1954, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 49 pt: 0.32852, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 50 pt: 0.135048, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 51 pt: 0.522002, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 52 pt: 0.206591, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 53 pt: 0.635953, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 54 pt: 0.358581, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 55 pt: 0.337761, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 56 pt: 0.241075, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 57 pt: 0.919016, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 58 pt: 0.539408, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 59 pt: 0.208317, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 60 pt: 0.633839, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 61 pt: 0.429255, z: -83.9131, t: 2.23593e-11, PID: 321, Status: 1, PU: 1
    GenPart 62 pt: 0.489838, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
    GenPart 63 pt: 0.558927, z: -83.9131, t: 2.23593e-11, PID: 211, Status: 1, PU: 1
    GenPart 64 pt: 0.909164, z: -83.9131, t: 2.23593e-11, PID: -211, Status: 1, PU: 1
